Nome;Idade;Peso (kg);Altura (m)
Kamilly Azevedo;06/04/1972;135.82;1.58
Levi Ferreira;02/04/1905;47.3;1.55
Eloah das Neves;14/02/2003;120.52;1.69
Augusto Gonáalves;01/05/1959;59.6;1.88
Felipe Castro;01/01/1922;97.87;1.89
Julia da Costa;12/05/2015;74.67;1.4
Murilo Ara£jo;25/02/1937;133.68;1.88
Clara Carvalho;15/11/1993;62.65;1.46
Ana Julia Fernandes;06/02/1991;135.43;2.1
Marcelo Martins;08/10/1919;131.28;1.71
Bryan Rodrigues;06/02/1913;115.63;1.98
Luiz Gustavo Nascimento;08/07/1939;48.17;2.01
Eduarda Pires;20/09/1984;62.23;1.63
Jo∆o Guilherme Carvalho;28/10/1903;77.9;1.88
Dra. Mariane Souza;22/04/1902;93.74;1.71
Leandro das Neves;03/04/2010;52;1.46
Juan Nunes;22/11/1956;86.13;1.69
Matheus Cavalcanti;01/11/1922;148.25;1.59
Isabelly da Mota;23/05/1904;54.98;1.82
Srta. Isabel da Costa;16/01/1942;69.36;1.55
Ana da Cruz;27/11/1964;72.19;1.8
Luiz Ot†vio da Mota;17/09/2024;136.2;1.92
Clara Fernandes;23/04/1975;55.83;1.68
Ana J£lia Pereira;14/06/1989;72.64;1.48
Eduarda Alves;05/06/1918;49.72;1.44
Alice Jesus;01/03/2005;77.76;1.43
Nina da Rocha;05/03/1922;55.04;1.74
Isis Peixoto;28/01/1921;132.29;1.81
Gabrielly Teixeira;04/02/1935;147.09;1.52
Maria Luiza Cardoso;15/05/1927;87.47;1.59
Stephany Almeida;19/07/1924;92.03;1.59
Ana Julia Cardoso;07/06/1936;51.75;1.7
Davi Lucas da Cunha;15/10/1936;130.94;1.86
Davi Luiz Dias;22/11/1947;104.69;1.66
Miguel Teixeira;03/05/1909;133.15;1.96
Maria Julia da Conceiá∆o;29/09/1982;96.24;1.78
Diogo Gomes;05/08/1945;109.34;1.84
Vit¢ria Vieira;25/05/1909;58.36;1.79
Carlos Eduardo Farias;12/03/1978;61.21;1.47
Srta. Maria da Luz;25/07/1939;144.59;1.53
Gabriel Ferreira;31/08/1926;107.6;1.43
Lucas Gabriel Lima;08/08/1942;65.16;1.52
Luiz Gustavo Novaes;10/03/2015;51.7;1.98
Diego Ferreira;13/06/1971;91.44;1.44
Sofia da Cunha;19/09/1937;64.08;2.06
Dra. Al°cia Oliveira;23/04/2003;64.8;1.48
Gustavo Henrique Moraes;22/02/1974;99.63;1.74
L°via Alves;11/01/2000;73.09;1.8
Dra. La°s Cunha;07/11/1920;97.14;1.64
Kevin Martins;17/12/1982;56.85;1.77
Alexandre Teixeira;14/12/1920;116.33;1.44
Luiz Miguel Barbosa;06/02/1964;41.61;1.94
Theo Fernandes;17/06/1948;69.77;2.08
Maria Cec°lia Cardoso;13/10/1932;125.72;1.84
Diego Alves;08/05/1936;99.15;1.78
Gustavo da Luz;20/05/1945;69.21;1.8
Henrique Azevedo;13/10/1983;102.46;1.97
Calebe Freitas;29/12/1904;103.37;2.08
Cauà Ribeiro;26/03/1964;147.74;1.82
Arthur Novaes;03/10/1915;66.49;1.62
Maria Sophia Cunha;28/12/2020;82.57;1.7
Lorena Peixoto;03/11/1964;56.29;1.87
Daniel Silveira;13/06/1993;136.62;1.94
Laura Novaes;16/05/1948;107.99;1.9
Vinicius Fernandes;20/02/1956;88.34;1.7
Kevin Oliveira;12/02/2024;54.7;1.74
Gustavo Henrique Peixoto;27/06/2018;147.62;1.73
Clara da Mota;11/09/1958;72.05;1.45
Isabel Cunha;15/06/1952;125.08;2.07
Davi Luiz da Mata;12/09/1941;99.45;2.05
Thales Arag∆o;19/08/1934;83.28;1.42
Srta. Elisa da Cruz;11/08/1975;82.34;1.48
Rafaela Gonáalves;14/07/1932;120.59;2.03
Joana Ribeiro;05/11/2008;50.89;1.4
Luiz Ot†vio Martins;14/11/1968;57.13;1.63
Ot†vio Alves;10/10/1985;108.73;1.53
Renan Porto;02/03/1971;105.66;1.79
Luiz Henrique Teixeira;21/04/1949;84.6;1.44
Thales Barbosa;21/02/1954;60.16;1.94
Cau∆ Caldeira;17/12/2013;101.83;1.86
Marina Peixoto;11/12/1944;110.06;2.01
Cec°lia Ara£jo;08/07/1937;94.06;1.87
Jo∆o Pedro Moura;07/08/2007;75.68;1.47
Lav°nia Mendes;23/09/1929;95.12;1.42
Vit¢ria Silva;10/02/1992;132.84;1.7
Davi Peixoto;16/11/1900;42.47;1.65
Jo∆o Ara£jo;20/09/2006;125.39;1.83
Luana Melo;06/09/2022;121.43;1.48
Ana Laura da Rocha;26/07/2015;135.04;1.76
Pietra Arag∆o;24/06/2011;60.47;1.95
Ben°cio Nascimento;07/05/1903;133.71;1.84
Vitor Farias;29/07/2005;50.16;1.56
Lucca Caldeira;21/12/2017;102.38;1.98
Eduardo Cavalcanti;24/06/2013;108.68;1.91
Marina Martins;15/05/1913;112.37;1.65
Nicolas Moraes;03/09/1961;100.42;1.54
Diogo Ramos;27/08/1905;66.65;1.76
Caio Pereira;18/04/1918;51.39;1.78
Isabel Cavalcanti;14/08/1929;69.91;1.7
La°s Novaes;26/02/2015;147.88;1.51
Ana Luiza das Neves;03/08/1966;63.91;1.77
Davi Lucas Ribeiro;07/09/1973;94.91;1.85
Emanuelly Moreira;08/12/1909;45.77;1.43
Yasmin Martins;06/02/1963;79.16;1.52
Thales Barbosa;20/06/1942;107.6;1.75
Sra. Mariana Cunha;12/08/1927;131.51;1.69
Luiz Ot†vio Lopes;29/12/1929;101.27;1.56
Julia Freitas;25/10/1969;95.43;1.98
Jo∆o Gabriel Carvalho;04/03/1967;41.27;2
Luana Peixoto;04/07/2016;84.91;1.58
Laura Martins;26/11/1964;121.33;1.6
Agatha Costa;23/04/2000;85.96;2.05
Esther da Paz;22/06/1996;53.48;2.05
Gustavo Henrique Cunha;28/01/1909;141.86;1.53
Augusto Rodrigues;13/11/1926;59.6;1.69
Bernardo da Cruz;24/02/1982;78.83;1.93
Pedro Miguel Martins;06/07/1950;113.43;1.97
Levi da Mata;31/10/1976;100.58;1.88
Pedro Miguel da Costa;16/07/2000;143.13;1.55
Ot†vio Silva;17/12/1909;56.64;1.44
Alice Monteiro;29/12/1957;92.88;2.04
Heitor Carvalho;11/08/1971;48.07;1.85
Isabel Pinto;14/10/1952;113.28;2
Enrico Rocha;14/12/1976;92.68;1.93
Juan Nunes;05/01/1979;55.42;1.63
Nicole Barros;08/10/2005;146.18;1.45
Lucas Vieira;26/01/1940;76.86;1.82
Isaac Alves;20/03/1948;148.12;1.48
Amanda Lima;16/05/1983;134.17;1.58
Pietra Ramos;09/05/1941;101.95;1.83
Manuela da Paz;25/09/1922;48;1.43
Rafaela Arag∆o;06/03/2005;91.92;1.44
Rafaela Gomes;29/03/1987;67.08;1.6
Jo∆o Gabriel da Cunha;20/05/2021;58.57;1.46
Gabriel Silva;26/06/2003;145.39;1.9
Pietro Silva;17/04/1979;138.01;1.89
Joaquim Freitas;12/11/1999;124.09;1.61
Maria Sophia Costela;12/07/1992;56.74;1.67
Emanuelly Ramos;23/10/1994;101.4;1.95
Ana Laura Azevedo;26/06/1981;53.02;1.97
Ana Julia Melo;30/08/2000;121.03;1.75
Lara Vieira;23/08/1990;76.82;1.71
Vitor Gabriel da Conceiá∆o;23/08/1902;60.89;1.78
Marcela Azevedo;16/06/1939;72.54;1.91
Srta. Ana Moura;10/08/1994;47.35;1.84
Luiz Fernando da Luz;02/10/1906;115.53;1.43
Erick da Cunha;17/10/1919;94.96;1.78
Juan Lima;22/08/1903;118.01;1.99
Caio Farias;23/03/1940;61.45;1.94
Lorenzo Melo;28/05/1904;115.05;2.04
Enzo Gabriel Caldeira;01/06/2000;41.24;1.8
Juliana Dias;12/02/1914;44.38;1.53
Vitor Gabriel Mendes;27/05/1947;142.43;1.64
Eloah da Cruz;13/09/1971;68.13;1.48
Alana Melo;03/10/1955;109.21;2.08
Vitor Gabriel Martins;11/02/2020;73.57;1.78
Lucca Oliveira;02/09/2016;113.15;1.9
Enrico Moreira;05/04/2019;66.14;1.48
Pedro Miguel das Neves;20/09/1902;65.26;1.78
Valentina Pinto;18/06/1983;95.32;1.63
Laura Carvalho;03/01/1958;144.41;1.43
Gabriela Duarte;16/11/1924;53.74;2.09
Jo∆o Miguel das Neves;17/03/1988;45.55;1.92
Maità Almeida;16/01/2009;77.22;2.07
Leonardo Ribeiro;08/11/1983;104.18;1.47
Renan da Rosa;05/01/1989;71.64;1.93
Fernando Pinto;11/06/2002;57.42;1.69
Elisa Rocha;19/08/1994;103.43;1.87
Jo∆o Miguel Pinto;23/01/1903;100.08;1.66
Cau∆ Azevedo;29/10/1910;147.77;2.05
Raquel Santos;06/03/1948;90.25;1.69
Emanuelly Fogaáa;07/02/2000;72.54;1.42
Dra. Daniela Carvalho;12/03/1930;120.1;1.65
Srta. Stephany da Luz;16/04/2002;88.67;2.07
Jo∆o Guilherme Fernandes;26/05/2022;130.51;1.83
Bianca Pinto;28/12/1982;86.14;1.82
Ana Clara da Costa;05/05/2007;121.35;1.67
Thiago Nogueira;22/03/2008;109.99;1.54
Davi Lucca Moreira;07/07/1978;45.16;1.85
Ana Sophia Barros;07/07/1985;46.7;1.4
Ian Castro;23/12/2017;88.87;1.73
Marcela da Mota;01/06/2004;116.58;1.64
Henrique Jesus;26/09/1998;123.65;1.6
Marina Rodrigues;02/11/1951;69.92;1.48
Vitor Gabriel Ribeiro;18/02/1969;52.47;1.45
Jo∆o Vitor Ferreira;11/10/1913;87.29;1.52
Esther das Neves;16/06/1950;144.14;1.56
Rodrigo da Conceiá∆o;20/06/1994;99.33;1.57
Antìnio Porto;11/09/1939;139.53;1.63
Davi Luiz Azevedo;20/05/1919;116.03;1.69
Nicolas Pinto;04/10/1956;112.04;1.43
Fernando Monteiro;03/12/2003;116.24;1.59
AndrÇ Arag∆o;06/04/1949;57.62;1.84
Dra. Emanuella Peixoto;15/06/2003;137.93;2.09
Anthony Pinto;24/05/1937;61.32;1.42
Alexia Cavalcanti;16/09/1912;143.11;2.09
Rodrigo Correia;01/06/1989;122.27;1.98
Bruna Rezende;24/08/1924;68.82;1.41
Luiz Felipe Cardoso;01/01/1948;45.19;1.6
Davi Lucca Correia;12/12/1936;44.42;1.98
Vinicius Farias;24/07/1916;85.12;2.07
Caroline Lopes;24/12/2002;105.64;1.6
Sra. Isabel Costela;24/04/1953;67.8;2.06
Enzo Oliveira;08/06/1915;65.85;1.47
Luiz Henrique Moraes;30/12/2021;137.19;2.02
Dra. J£lia Cavalcanti;02/08/1951;115.1;1.83
Vinicius Ramos;12/09/2004;127.69;1.79
Rodrigo Sales;24/09/1935;99.84;1.99
Larissa Lima;10/01/1920;41.1;1.76
Bruno Barbosa;18/02/1991;126.23;1.47
Diego da Rocha;19/01/1970;142.51;1.72
Let°cia Carvalho;02/10/1987;56.34;1.43
Breno Sales;09/01/1968;148.08;1.47
Luiza Almeida;15/06/2024;85.48;1.53
Sra. Ana Carolina da Rosa;12/07/1924;121.97;1.85
Jo∆o Vitor da Cunha;21/11/1968;91.48;1.48
Vitor Jesus;22/09/1959;129.04;1.57
Isis Pinto;16/11/1940;147.38;1.89
Ana Beatriz da Rocha;09/02/1909;96.36;1.73
Gabriel Dias;19/06/1962;71.79;1.97
Luiza Novaes;12/10/2004;56.12;2.08
Danilo Gonáalves;10/04/1957;86.03;1.55
Thales Campos;20/04/1929;115.92;1.62
Luiz Ot†vio Almeida;31/05/1951;40.33;1.63
Paulo Farias;20/10/1909;85.35;1.9
Bruna Fernandes;15/01/1970;106.85;2.05
Helo°sa Rodrigues;14/05/2011;99.52;1.94
Catarina Cunha;04/07/1924;129.54;2.03
Let°cia Costa;16/02/1988;143.33;2.07
Ian Nogueira;26/03/1982;107.78;1.44
Fernando Costela;20/01/1983;88.63;1.8
Gustavo Oliveira;28/07/1947;40.57;1.96
Paulo Monteiro;04/06/1975;96.34;1.79
Gabriela Cardoso;25/05/1986;100.92;1.83
Larissa Freitas;11/04/1902;108.02;1.58
Eloah Pires;08/02/1962;126.9;1.68
Marcos Vinicius da Conceiá∆o;22/11/2002;95.2;1.77
Nicolas Cardoso;10/02/1950;118.26;1.96
Dra. Maria Vit¢ria da Cruz;07/09/1957;75.84;1.57
Thomas Dias;13/03/2016;40.72;1.88
Dra. Amanda Costa;21/10/1914;89.85;2.03
Paulo da Conceiá∆o;21/09/1966;121.74;2.08
Alice Pinto;07/02/2022;135.9;1.82
Thales Dias;14/09/1926;73.75;1.67
Gabriela Gonáalves;19/06/1954;97.8;1.86
Gabrielly Monteiro;17/09/1946;49.49;1.67
Emanuelly Silva;15/06/1939;116.69;2.08
AndrÇ Almeida;07/01/1967;40.57;1.68
Vicente Cardoso;27/02/2020;108.12;2.04
Sabrina Arag∆o;08/03/1958;123.42;1.72
Calebe das Neves;28/01/1984;102.3;2.02
Jo∆o Lucas Pires;30/09/1977;143.58;1.99
Vitor Ribeiro;10/09/1941;69.87;1.79
Davi Luiz da Rocha;02/11/2020;143.27;1.64
Pietro Moura;20/07/1967;106.53;2.04
Alice Cunha;18/07/1923;72.03;1.56
Leonardo Souza;12/04/1980;73.62;1.82
Gabriel Caldeira;26/11/1942;118.4;2.06
Vinicius Almeida;20/01/1958;90.85;2.08
Vitor Vieira;20/12/1979;43.95;1.82
Renan Gomes;06/06/1920;101.61;1.41
Beatriz Jesus;16/04/1947;141.66;1.73
Dra. Maria Eduarda Melo;05/09/2005;47.94;1.65
Benjamin Cunha;13/06/1924;121.88;1.64
Stella da Luz;03/07/1935;50.35;1.92
Valentina Pereira;15/07/1986;90.75;1.42
Isabelly Rodrigues;26/02/1920;140.23;1.64
Al°cia Nogueira;21/05/1916;80.82;2.03
AndrÇ Souza;21/01/1906;54.69;1.81
Sra. Isadora Almeida;30/01/2007;144.68;1.84
Thales Peixoto;06/04/1922;67.23;1.73
Bianca Vieira;22/10/1973;135.2;1.47
Luiz Felipe Fernandes;18/06/1946;52.39;1.8
J£lia Rocha;24/07/1922;138.17;1.97
Eduardo Cardoso;17/09/1994;85.5;1.4
Leandro da Mota;08/07/1912;56.79;1.42
Juliana Freitas;04/01/1998;42.15;1.45
Luiz Felipe Ramos;08/10/1963;139.08;1.98
Nina Jesus;21/06/1958;66.3;1.61
Pietro das Neves;30/07/1908;64.17;1.6
Calebe Correia;18/02/1932;50.82;1.47
Danilo Freitas;02/08/1971;140.98;1.56
Olivia Nunes;06/03/1931;55.76;2.01
Pedro Miguel Cunha;04/10/1998;101.71;1.69
Heitor da Conceiá∆o;16/02/1929;115.9;1.43
Ana Julia Lima;29/09/2003;144.91;1.5
Giovanna Melo;10/04/1989;44.71;1.63
Ana J£lia Lima;21/05/1918;102.51;1.46
Dra. Milena da Conceiá∆o;17/04/1966;128.08;1.74
Maria Luiza Cunha;06/09/1964;131.88;1.48
Nathan Viana;01/03/1982;90.56;1.95
Emanuel Barros;05/09/1944;82.97;1.76
Laura Lopes;17/02/1968;40.83;1.5
Eduardo Costela;12/11/1979;145;1.42
Mariana da Rocha;17/02/1913;47.63;1.91
Guilherme Santos;18/04/1910;142.79;1.8
Amanda da Luz;14/08/2001;78.6;1.5
Raul Duarte;20/08/2001;63.62;1.88
Lara Teixeira;23/07/1978;76.36;1.6
Gabrielly Novaes;28/06/1936;95.76;1.83
Noah Souza;10/04/2007;109.17;1.49
Sra. Melissa das Neves;14/08/1926;56.56;2
L°via Oliveira;07/07/2022;40.68;1.74
Nathan Nascimento;31/08/2009;127.16;2.01
Luiz Felipe da Luz;02/06/2024;136.06;1.63
Nat†lia Souza;11/10/1988;147.23;1.51
Henrique Rezende;01/01/2000;94.2;1.55
Lorenzo Campos;28/06/2023;110.44;2.09
Olivia Moraes;12/01/1904;60.98;1.44
Maria Julia da Paz;04/11/1902;114.54;1.79
Diogo das Neves;05/04/1932;56.21;1.56
Fernanda Ara£jo;15/09/1983;41.48;1.54
Anthony Pinto;12/09/1998;64.29;1.78
Diogo Pinto;23/05/1926;111.26;1.73
Arthur Ribeiro;21/04/2006;44.11;2.05
Luiz Miguel Barbosa;24/08/1950;48.39;2.08
Lucca da Cruz;01/05/2023;108.38;2.03
Sabrina Rocha;07/02/1910;82.03;1.69
Jo∆o Guilherme da Cruz;11/11/1994;50.71;1.42
Eduardo da Luz;07/10/1922;42.32;2.01
B†rbara Costa;04/11/1928;132.45;1.5
Levi Ara£jo;02/03/1990;58.59;1.85
Raquel Vieira;04/12/2016;130.5;1.52
Caio da Cruz;15/02/1978;147.53;1.88
B†rbara Arag∆o;24/02/1933;66.93;1.41
Raquel Silva;04/09/1921;93.52;1.9
Davi Lucas Moreira;18/05/1913;42.14;1.52
Gabriel Alves;01/12/1903;109.16;1.48
Helo°sa da Mata;22/11/1946;111.32;1.97
Ana Luiza da Paz;23/07/1929;112.02;2
Sofia Caldeira;01/02/1932;133.87;1.41
Julia Costela;01/08/1995;133.94;2.1
Sofia Barros;05/11/1921;92.1;2.08
Cau∆ da Cruz;09/03/1911;55.92;1.85
Jo∆o Miguel Gomes;29/10/1967;140.68;1.76
Julia Barbosa;02/11/2003;111.64;1.87
Bruno Gomes;25/12/1914;59.63;2.09
Sarah Costa;07/01/1967;66.71;1.76
Rafaela Pinto;24/08/1933;142.04;1.82
Ryan Nogueira;16/07/2000;78.85;1.41
Diego da Mata;03/03/1912;142.86;1.79
Stella Barros;09/07/2004;59.63;1.82
Lorena Martins;07/09/1950;60.42;1.91
Lucas Pereira;05/03/1965;58.08;1.54
Ana Beatriz Nogueira;22/09/1981;41.17;2.06
Nicole Cardoso;03/04/2012;52.09;1.93
Emanuel Gomes;06/06/2010;77.22;2.04
Julia Mendes;10/12/1962;65.45;1.96
Helo°sa Lopes;31/05/2005;73.62;1.76
Raul Barbosa;11/07/1954;54.62;1.53
Pedro Lucas Moreira;10/03/1991;80.41;1.62
Henrique Ribeiro;04/11/1937;133.66;2.03
Davi Duarte;01/09/1919;75.19;1.92
Maria Sales;13/07/2015;45.21;1.75
Emanuella da Rocha;26/12/2001;129.71;1.99
Lucas Moraes;07/11/1944;64.72;2.06
Valentina da Rocha;17/11/1947;97.41;1.72
Joaquim Alves;18/06/1995;133.44;1.81
Sra. Emanuelly das Neves;06/03/2004;104.73;2.04
Luiza Duarte;07/07/1903;76.65;1.51
Srta. Ana Beatriz Santos;25/09/1969;72.99;1.54
Esther Costa;13/10/1995;79.63;1.91
Pedro Silva;13/07/1972;125.45;1.85
Sra. Maria Luiza da Costa;22/05/1902;53.93;1.93
Beatriz Carvalho;28/10/1943;114.26;1.7
Enzo Costela;12/10/2013;56.82;1.54
Rodrigo Melo;07/11/1940;74.04;1.55
Lucas Gabriel da Paz;12/11/1952;63.05;1.75
Kevin Jesus;02/07/1978;119.95;1.47
Isabella da Luz;25/01/1948;75.44;1.86
Enrico Moura;09/01/2024;70.31;1.62
Maria Cec°lia Campos;01/12/1965;105.88;2
Danilo Santos;07/08/1953;122.04;1.46
Augusto da Conceiá∆o;30/06/1961;127.97;1.92
Cec°lia Moura;24/06/2008;137.61;2.06
Pedro Miguel Viana;03/04/1942;123.03;1.89
Bernardo da Mota;25/01/1949;122.62;1.82
Beatriz da Costa;27/10/1951;71.07;2.1
Ana Clara Almeida;12/11/1969;116.64;1.91
Maria Sophia Ramos;05/07/1928;79.7;2.08
Catarina Nogueira;26/12/2019;84.57;1.57
Sra. Gabriela Costa;12/06/1916;149.05;1.79
Rebeca Barbosa;25/10/1945;72.06;1.57
Ryan Campos;06/02/1950;83.97;1.44
Marcos Vinicius Cunha;09/10/2021;104.59;2
Danilo Fogaáa;27/11/1972;102.81;1.75
Fernanda Farias;01/12/1944;102.37;1.44
Jo∆o Lucas Costa;06/03/1904;87.26;2.02
Enzo Gabriel Novaes;14/04/1974;117.82;1.97
Luiz Gustavo da Cunha;16/04/1986;43.32;1.5
Sra. Maria Vit¢ria Moura;18/11/2024;98.71;1.62
Jo∆o Vitor Silva;22/10/1917;126.84;1.9
Maria Almeida;28/08/1957;118.96;1.46
Srta. Joana Almeida;08/06/2012;89.1;1.43
Samuel Oliveira;17/04/2017;98.78;1.97
Rafaela Nunes;18/08/1961;145.99;2
Emanuella Peixoto;14/03/2008;129.53;2.07
Ana L°via da Paz;03/04/1991;87.66;1.44
Emanuelly Viana;06/02/1959;54.05;1.73
Eduardo Cunha;22/05/1975;128.38;2.06
Maria Clara Duarte;24/03/2016;148.04;2.05
Isadora Peixoto;28/12/1964;130.24;1.75
Jo∆o Felipe Jesus;28/11/1989;57.45;2.08
Manuela Pinto;28/02/1991;91.7;1.81
Diogo Carvalho;22/10/1969;49.29;1.51
Carolina da Rosa;08/01/1915;47.31;1.64
Ryan Cardoso;04/07/2015;147.8;1.9
Davi Lucca Alves;10/02/1957;131.69;1.44
Maria Sophia Ara£jo;23/09/2001;110.16;2.04
Breno Pinto;20/05/1971;131.83;2.05
Ian Pires;11/03/1987;109.57;1.79
Camila Ribeiro;05/04/1900;63.36;1.45
Maria Silva;19/07/1913;106.99;1.79
Ian da Rocha;08/06/2017;100.82;2.06
Srta. Stephany Mendes;28/05/1978;41.08;1.52
Emanuelly Moura;22/09/1971;66.26;1.76
Maria Luiza Gonáalves;20/01/1941;147.51;1.99
Lorenzo Cavalcanti;12/02/1964;73.69;1.41
Juliana Mendes;08/06/1994;114.49;2.03
Davi Luiz Cardoso;26/05/1932;140.65;1.53
Thomas Nunes;23/02/2004;108.12;1.81
Marina Gonáalves;08/01/1914;145.71;1.67
Leonardo da Conceiá∆o;18/11/1966;88.45;1.76
Maria Sophia Santos;05/09/1926;70.73;1.9
Srta. Lav°nia Lopes;28/01/1959;114.35;1.69
La°s da Cruz;09/08/2011;112.02;2.07
Maria Julia Silveira;05/11/1963;84.37;1.86
Thomas Nogueira;05/05/1921;110.76;1.74
Emilly das Neves;19/12/1914;78.31;1.89
Maria Luiza Pires;22/10/1913;111.18;1.95
Isabelly Silva;27/08/2020;42.94;1.7
Bianca da Rocha;31/03/1914;100.08;1.67
Dra. Vit¢ria Moreira;04/08/1938;146.93;2
Vitor Hugo Azevedo;01/05/1912;42.54;1.92
Catarina Arag∆o;06/11/1992;91.05;1.57
Alice Caldeira;08/04/1972;106.6;1.48
Alana Costela;10/07/1975;81.92;1.45
Bruna Arag∆o;21/08/2014;97.85;1.83
Isabella Jesus;29/10/1985;148.22;1.84
Laura Alves;08/12/1985;122.06;1.42
Srta. Marcela da Paz;26/03/1933;89;1.45
Diego Ramos;05/08/1985;90.54;1.62
Kaique da Luz;17/09/1989;78.43;2.05
Lorenzo Gomes;27/11/1913;58.01;2.03
Srta. Esther da Rosa;28/04/1956;68.57;1.45
Olivia da Mota;09/11/1997;83.42;1.87
Matheus Moreira;17/02/2016;59.58;1.65
Enrico Almeida;17/03/1953;136.28;2.09
Calebe Cardoso;29/09/1950;45.14;1.76
Arthur Jesus;02/01/1935;91.37;1.93
Julia Pinto;23/07/1909;48.17;1.72
Emanuel Barbosa;22/03/1952;117.01;1.48
Stephany Novaes;04/10/1979;147.13;1.41
Juliana Duarte;27/08/1963;40.94;1.88
Alana Almeida;21/02/2016;139.2;1.93
Jo∆o Lucas Costa;25/05/1936;103.08;1.53
Dra. Ana L°via Rodrigues;19/08/2014;137.87;1.43
Marcos Vinicius Novaes;06/12/1999;142.29;1.44
Sra. Mariana Fogaáa;09/11/1903;58.2;1.77
Catarina Pires;08/04/1928;97.89;1.92
Davi Lucca Dias;01/10/1966;69.09;1.82
Clarice Ramos;25/11/1947;122.12;1.58
Brenda Monteiro;27/04/1972;147.35;1.99
Srta. Isadora Peixoto;15/05/1957;103.13;1.9
Luigi Alves;20/05/1986;75.94;2.02
Srta. Fernanda da Cunha;02/12/1977;57.9;1.76
Maria Clara Caldeira;28/08/1993;64.82;2.04
Maria Sophia Fogaáa;15/12/1904;89.17;1.69
Ana Luiza Cardoso;12/09/1916;58.49;1.85
Theo Vieira;23/04/1925;145.17;1.65
Levi Lopes;11/07/2023;57.16;1.54
Maria Luiza da Cruz;24/06/1922;92.69;2.01
Alexia Cardoso;16/03/1954;43.25;1.8
J£lia Costela;08/10/1955;42.83;1.67
Lara Porto;13/08/1903;55.79;1.53
Igor Lopes;18/02/1934;61.53;1.61
Rodrigo da Paz;23/05/1968;149.96;2.03
Maria Eduarda Arag∆o;21/06/1982;63.67;2
Ben°cio Alves;18/10/1917;92.94;1.69
Rafael Martins;17/05/1949;58.53;1.82
Luiza Nascimento;15/06/1959;131.08;1.73
Lorena Ramos;10/05/1961;110.11;1.8
Agatha Pereira;20/03/1913;129.56;2.09
Srta. Milena Dias;21/11/1963;111.62;1.62
Sra. Mirella Martins;14/03/2013;140.86;1.83
Vit¢ria Caldeira;07/01/1951;95.93;1.83
Miguel Novaes;11/10/1972;42.89;1.54
Luiza da Paz;04/01/1951;84.41;1.64
Lorenzo Pinto;19/02/1968;145.15;1.85
Eloah Nogueira;03/05/1930;69.74;1.67
Bernardo da Conceiá∆o;11/01/2023;71.16;1.7
Julia das Neves;10/06/2008;95.46;1.66
Dra. Rebeca Pinto;09/04/1956;46.45;2.08
Davi Lucas Cardoso;05/01/1987;73.15;2.04
Stephany Porto;15/10/1970;63.6;1.57
Stella Porto;04/03/1925;137.16;1.76
Giovanna Viana;16/06/2017;118.45;2.02
Ana Laura da Rocha;15/04/1953;136.12;1.87
Leonardo Moraes;21/10/1953;125.44;1.48
Raul Almeida;09/05/2023;115.32;1.6
Ana Carolina Porto;08/12/2009;132.75;1.81
Joana Castro;01/06/1903;117.04;1.83
Luana Oliveira;26/12/1969;144.4;1.42
Evelyn Freitas;27/04/1936;117.33;1.83
Isis Nascimento;20/09/1919;52.01;2.06
Rafael Cunha;07/02/1949;47.65;1.75
Pedro Lucas Souza;28/01/1920;118.49;1.7
Helo°sa Jesus;07/06/1981;66.29;1.47
Maria Clara Viana;31/07/2014;124.37;1.57
Emanuel Dias;16/09/1926;101;2.01
Lorena da Mota;25/01/1948;75.47;2.08
Agatha da Costa;01/05/2004;117.87;1.8
Mirella Vieira;07/03/1993;66.7;1.46
Mirella Pires;20/05/1988;50.39;1.92
Mirella Peixoto;10/07/1960;102.27;1.48
Al°cia da Rosa;04/12/1976;133.94;1.78
Lucca da Costa;17/09/2010;136.95;1.48
Dra. Luana Caldeira;28/03/1964;45.05;1.8
Joana Caldeira;28/03/2019;64.89;1.57
Davi Lucas Barros;05/01/1907;63.43;1.47
Raul Ribeiro;11/05/2005;143.54;1.4
Diego Barros;12/04/1969;147.6;1.59
Mariane Gonáalves;12/11/1947;109.35;1.76
Isaac Santos;21/12/1904;90.97;1.79
Heitor das Neves;22/02/1983;120.63;1.55
Ben°cio Pereira;31/08/1917;83.25;1.47
Luiz Fernando Fernandes;17/11/1969;145.99;2.07
Milena da Mata;23/04/1930;102.81;1.81
Isabella da Costa;26/04/1999;45.36;1.62
Melissa Cardoso;16/10/1928;146.62;1.97
Diego Arag∆o;17/03/1935;144.29;1.57
Cau∆ Oliveira;18/06/1998;50.42;1.75
Sofia Costela;13/12/1996;54.28;1.89
Luiz Henrique Cardoso;01/09/1993;75.13;1.88
Sra. Alana Jesus;19/10/1962;130.62;1.61
Davi Lucas Ferreira;29/11/1953;79.21;1.57
Pedro Lima;03/09/1973;71.8;1.69
Pedro Miguel Mendes;31/10/1928;136.72;1.63
Gabriel da Paz;04/12/2016;114.22;1.45
Beatriz Melo;25/08/2023;47.27;1.79
Luiz Felipe Caldeira;01/01/1936;63.62;1.65
Pedro Lucas Cardoso;19/01/1962;146.1;1.79
Theo Lima;23/02/2015;104.11;1.79
Ana Luiza Cardoso;11/03/2011;57.81;1.44
Luiz Gustavo da Conceiá∆o;23/01/1945;95.14;1.74
Samuel Moreira;04/06/2021;141.24;1.5
